INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
LT $2000,1972,803,retired,452,31,67,Inspecto,,39,38,married,31,no,KEEPING,916,22,18,2,1,73,7,,11,7,LT HIGH,,LT HIGH,LT HIGH,male,white,CITY GT,foreign,DIFFEREN,average,2,0,0,0,2,0,216,1.87,7.55,5.84,4.19,6.95,44.7,6.46,6.02,7.91,2.53,3.19,26,NOT REMO,fired,oppose,Can't be
,1972,804,KEEPING,245,50,449,Uncodeab,,,,married,22,no,retired,433,39,68,2,2,73,12,,,4,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,CITY GT,MIDDLE A,DIFFEREN,average,2,0,0,0,2,0,216,1.07,4.54,7.5,4.85,7.54,56.3,6.89,7.94,3.05,2.96,4.86,31.2,NOT REMO,NOT FIRE,favor,CAN TRUS
LT $2000,1972,805,KEEPING,394,36,748,Uncodeab,,,,widowed,23,yes,,,,197,2,4,70,12,,,,HIGH SCH,,,,female,white,50000 TO,MIDDLE A,DIFFEREN,average,1,0,0,0,1,0,216,4.1,7.49,7.52,3.3,3.43,35.6,5.56,7.91,3.35,2.83,4.27,31.8,remove,fired,favor,CAN TRUS
$8000 TO,1972,806,WORKING,162,47,207,Engineer,,50,63,married,19,no,KEEPING,394,36,287,1,2,27,12,12,12,12,HIGH SCH,,HIGH SCH,HIGH SCH,male,white,TOWN LT,SOUTH AT,"SAME ST,",average,4,2,0,0,2,1,216,2.17,7.76,2.43,4.33,5.93,46.4,4.68,6.45,5.84,2.9,4.09,30.5,NOT REMO,NOT FIRE,oppose,CAN TRUS
LT $2000,1972,807,KEEPING,280,34,617,Uncodeab,,,,widowed,25,yes,,,,67,7,0,82,10,4,4,,LT HIGH,LT HIGH,LT HIGH,,female,white,TOWN LT,MIDDLE A,DIFFEREN,average,1,0,0,0,1,0,216,3.53,5.62,7.86,3.4,4.1,37.5,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,favor,CAN TRUS
$2000 TO,1972,808,WORKING,415,40,67,Carpente,,44,49,NEVER MA,,,,,,917,3,0,22,15,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,male,white,TOWN LT,SOUTH AT,DIFFEREN,ABOVE AV,2,0,0,0,2,1,216,3.27,7.84,1.26,3.87,7.61,38.7,1.24,4.28,7.78,4.94,7.26,60.5,NOT REMO,NOT FIRE,favor,Can't be
LT $2000,1972,809,retired,441,45,937,First-li,,50,62,married,28,yes,KEEPING,915,20,478,4,3,67,7,8,8,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,CITY GT,MIDDLE A,DIFFEREN,BELOW AV,4,1,0,0,3,0,216,1.17,3.96,5.58,4.15,7.14,44.6,1.55,4.84,7.81,4.75,6.92,55.8,remove,fired,favor,CAN TRUS
$12500 T,1972,810,WORKING,194,51,227,Uncodeab,,,,married,22,no,KEEPING,372,46,219,7,3,51,14,,,12,JUNIOR C,,,HIGH SCH,male,white,CITY GT,MIDDLE A,DIFFEREN,average,5,0,0,3,2,2,17,1.69,5.45,7.06,4.69,6.61,53.7,3,8,1,3.76,6.76,35.7,NOT REMO,NOT FIRE,oppose,Can't be
$17500 T,1972,811,WORKING,602,27,227,Uncodeab,,,,married,30,no,WORKING,144,63,17,2,2,54,14,8,8,18,HIGH SCH,LT HIGH,LT HIGH,graduate,male,white,50000 TO,W. SOU.,"SAME ST,",average,4,0,0,0,4,3,17,6.65,8,4.59,2.42,3.24,30.3,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,812,WORKING,602,27,227,Uncodeab,,,,married,21,no,WORKING,372,46,17,0,1,49,10,8,7,11,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,TOWN LT,W. SOU.,"SAME ST,",average,3,0,0,0,3,2,17,6.65,8,4.59,2.42,3.24,30.3,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,oppose,Can't be
$10000 T,1972,813,KEEPING,926,42,838,Licensed,,69,88,married,16,no,WORKING,461,48,319,3,2,36,15,12,9,11,HIGH SCH,HIGH SCH,LT HIGH,LT HIGH,female,white,CITY GT,MIDDLE A,DIFFEREN,average,5,1,1,0,3,1,17,4.67,7,8,3.59,5.17,43.3,4.28,7.69,2.6,3.27,5.62,31.7,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,814,WORKING,280,34,609,Uncodeab,,,,married,19,no,WORKING,184,51,,3,4,45,12,,,16,HIGH SCH,,,bachelor,female,white,BIG-CITY,W. SOU.,SAME CIT,ABOVE AV,4,0,0,2,2,4,17,3.53,5.62,7.86,3.4,4.1,37.5,,,,,,,NOT REMO,fired,favor,CAN TRUS
$12500 T,1972,815,KEEPING,,,,,,,,married,18,no,WORKING,202,72,17,2,2,35,12,10,10,14,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,farm,W. SOU.,"SAME ST,",average,3,0,0,1,2,2,17,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,Can't be
$8000 TO,1972,816,WORKING,192,57,897,Public r,,46,57,separate,21,,,,,539,1,3,42,15,16,16,,HIGH SCH,bachelor,bachelor,,female,white,50000 TO,W. NOR.,DIFFEREN,ABOVE AV,3,0,0,1,2,1,17,0.16,5.95,7.81,5,6.98,62,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,NOT FIRE,oppose,CAN TRUS
$20000 T,1972,817,WORKING,11,68,68,Civil en,,65,91,married,30,yes,WORKING,56,56,,2,0,56,14,12,,12,HIGH SCH,HIGH SCH,,HIGH SCH,male,white,TOWN LT,W. NOR.,DIFFEREN,average,2,0,0,0,2,2,17,0.23,7.89,1.36,4.97,7.85,62.6,6.42,7.86,5.21,2.41,3.35,16.8,NOT REMO,fired,oppose,Can't be
$10000 T,1972,818,KEEPING,822,18,17,Miscella,,27,18,married,18,no,WORKING,245,50,17,7,5,54,9,8,8,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,pacific,"SAME ST,",FAR BELO,3,0,0,1,2,1,15,6.61,7.97,4.74,2.53,3.75,10.8,6.61,7.97,4.74,2.53,3.75,10.8,remove,NOT FIRE,favor,CAN TRUS
$6000 TO,1972,819,WORKING,382,36,857,Teacher,,48,50,married,20,no,WORKING,821,35,17,6,4,52,8,3,,10,LT HIGH,LT HIGH,,LT HIGH,female,white,TOWN LT,pacific,SAME CIT,average,6,0,1,1,4,4,15,3.38,5.81,7.89,3.66,3.58,29.1,6.61,7.97,4.74,2.53,3.75,10.8,NOT REMO,fired,favor,Can't be
$6000 TO,1972,820,WORKING,903,16,857,Janitors,,24,15,married,17,no,WORKING,441,45,17,5,3,30,9,0,3,5,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,pacific,"SAME ST,",BELOW AV,5,1,2,0,2,2,15,5.79,7.85,4.81,2.83,3.62,22.7,6.61,7.97,4.74,2.53,3.75,10.8,NOT REMO,fired,oppose,Can't be
$12500 T,1972,821,KEEPING,,,,,,,,married,20,no,WORKING,245,50,77,6,EIGHT OR,38,8,5,4,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,pacific,SAME CIT,average,10,2,4,2,2,1,15,,,,,,,6.89,7.98,5.3,2.25,3.32,20.5,,fired,favor,CAN TRUS
$6000 TO,1972,822,WORKING,80,61,838,Clinical,,61,84,married,20,no,WORKING,914,15,17,6,1,24,13,12,,12,HIGH SCH,LT HIGH,,HIGH SCH,male,white,farm,pacific,"SAME ST,",FAR BELO,3,1,0,0,2,2,15,2.63,7.85,1.57,4.47,5.63,52.4,6.61,7.97,4.74,2.53,3.75,10.8,,,oppose,Can't be
LT $2000,1972,823,WORKING,510,30,69,Painters,,35,26,NEVER MA,,,,,,67,3,0,42,4,4,4,,LT HIGH,LT HIGH,LT HIGH,,male,black,TOWN LT,W. SOU.,DIFFEREN,average,2,0,0,0,2,1,15,6.59,7.87,1.46,3.02,6.72,31.3,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,fired,oppose,Can't be
$8000 TO,1972,824,TEMP NOT,690,32,289,Uncodeab,,,,married,20,no,TEMP NOT,822,18,,0,3,45,8,,7,7,LT HIGH,,LT HIGH,LT HIGH,male,white,TOWN LT,pacific,"SAME ST,",FAR BELO,4,1,1,0,2,1,15,6.36,7.79,5.15,2.53,3.4,29,,,,,,,remove,fired,favor,Can't be
$6000 TO,1972,825,WORKING,382,36,857,Teacher,,48,50,married,20,no,"UNEMPL,",715,32,17,5,5,47,12,3,1,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,50000 TO,foreign,DIFFEREN,FAR BELO,7,0,1,1,5,4,15,3.38,5.81,7.89,3.66,3.58,29.1,1.68,7.97,1.51,3.84,6.62,30.9,,fired,favor,CAN TRUS
$8000 TO,1972,826,WORKING,563,30,667,Upholste,,34,26,married,19,yes,WORKING,822,18,,2,4,36,6,0,0,15,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,50000 TO,foreign,DIFFEREN,average,7,1,2,2,2,2,15,5.44,8,2.82,2.85,4.67,28,6.42,7.86,5.21,2.41,3.35,16.8,remove,fired,favor,CAN TRUS
$10000 T,1972,827,WORKING,361,43,907,Postal s,,45,46,married,23,no,KEEPING,,,17,7,5,45,10,2,0,6,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,TOWN LT,pacific,SAME CIT,FAR BELO,7,1,0,2,4,4,15,3.43,6.5,7.94,3.68,3.81,41.2,6.61,7.97,4.74,2.53,3.75,10.8,NOT REMO,NOT FIRE,favor,CAN TRUS
$20000 T,1972,828,WORKING,580,47,917,Military,,62,76,married,22,yes,KEEPING,305,48,17,0,4,42,16,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,pacific,"SAME ST,",average,7,1,2,1,3,2,19,,,,,,,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,CAN TRUS
$20000 T,1972,829,KEEPING,933,14,809,Uncodeab,,,,married,21,,WORKING,590,47,917,6,1,22,14,12,10,17,HIGH SCH,HIGH SCH,LT HIGH,bachelor,female,white,50000 TO,pacific,SAME CIT,ABOVE AV,3,1,0,0,2,2,19,6.05,6.79,7.44,2.69,2.92,26.4,,,,,,,NOT REMO,fired,favor,Can't be
$12500 T,1972,830,WORKING,590,47,917,Military,,62,76,married,19,yes,KEEPING,395,36,717,1,3,31,15,12,12,13,JUNIOR C,HIGH SCH,HIGH SCH,HIGH SCH,male,white,BIG-CITY,pacific,"SAME ST,",average,4,2,0,0,2,1,19,,,,,,,1.86,5.65,8,4.21,6.18,49.7,NOT REMO,fired,favor,CAN TRUS
$12500 T,1972,831,KEEPING,142,60,857,Elementa,,61,85,married,25,no,WORKING,580,47,339,4,0,28,15,12,12,19,JUNIOR C,,HIGH SCH,graduate,female,white,CITY GT,MIDDLE A,DIFFEREN,average,2,0,0,0,2,2,19,1.97,2.03,8,4.99,6.14,63.6,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,fired,favor,Can't be
,1972,832,KEEPING,372,46,707,Secretar,,47,55,married,22,no,WORKING,590,47,717,3,4,30,12,12,12,18,HIGH SCH,HIGH SCH,HIGH SCH,graduate,female,white,50000 TO,E. NOR.,DIFFEREN,average,6,3,1,0,2,1,19,2.98,6.03,7.98,4,5.98,47.7,1.86,5.65,8,4.21,6.18,49.7,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,833,WORKING,590,47,917,Military,,62,76,married,22,no,WORKING,142,60,357,1,0,26,16,16,12,16,bachelor,bachelor,HIGH SCH,bachelor,male,white,BIG-CITY,MIDDLE A,DIFFEREN,ABOVE AV,2,0,0,0,2,2,19,,,,,,,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,NOT FIRE,favor,depends
$8000 TO,1972,834,WORKING,580,47,917,Military,,62,76,married,21,no,KEEPING,,,917,1,0,26,16,16,13,14,bachelor,bachelor,HIGH SCH,HIGH SCH,male,white,BIG-CITY,foreign,DIFFEREN,ABOVE AV,2,0,0,0,2,1,19,,,,,,,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$15000 T,1972,835,KEEPING,364,39,718,Receptio,,38,29,married,21,no,WORKING,222,61,,2,EIGHT OR,39,12,,12,15,HIGH SCH,,HIGH SCH,HIGH SCH,female,white,50000 TO,E. NOR.,SAME CIT,average,15,4,5,3,3,2,126,3.07,6.07,7.87,3.14,4.97,36.3,,,,,,,NOT REMO,,favor,CAN TRUS
,1972,836,WORKING,430,49,237,Electric,,49,54,NEVER MA,,,,,,209,4,0,21,10,11,12,,LT HIGH,LT HIGH,LT HIGH,,male,white,50000 TO,E. NOR.,SAME CIT,average,6,0,2,1,3,3,126,2.12,7.77,1.25,3.96,6.95,43.8,1.39,3.85,3.72,4.12,7.08,45.7,NOT REMO,fired,oppose,Can't be
,1972,837,WORKING,914,15,669,Counter,,24,13,NEVER MA,,,,,,379,6,0,19,11,16,15,,LT HIGH,bachelor,HIGH SCH,,female,white,50000 TO,E. NOR.,SAME CIT,average,9,1,3,2,3,6,126,6.63,7.03,7.81,2.21,2.99,14.6,3.93,7.86,7.67,3.41,3.46,40.6,NOT REMO,NOT FIRE,,Can't be
$2000 TO,1972,838,WORKING,630,18,779,Laundry,,26,12,widowed,29,no,,,,,7,4,61,9,,0,,LT HIGH,,LT HIGH,,female,white,50000 TO,E. NOR.,SAME CIT,average,2,0,0,0,2,2,126,6.6,7.9,5.63,1.92,2.55,19.2,,,,,,,remove,fired,favor,Can't be
$10000 T,1972,839,WORKING,270,44,718,Real est,,49,69,married,29,no,KEEPING,305,48,69,7,4,65,12,8,8,13,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,50000 TO,E. NOR.,SAME CIT,average,2,0,0,0,2,1,126,2.99,5.02,8,3.95,5.82,47.8,3,7.81,1.25,3.91,7.28,43.4,NOT REMO,NOT FIRE,favor,CAN TRUS
LT $2000,1972,840,KEEPING,663,25,319,Sewing m,,32,22,widowed,22,no,,,,759,7,6,74,8,,,,LT HIGH,,,,female,white,50000 TO,E. NOR.,SAME CIT,BELOW AV,1,0,0,0,1,0,126,6.69,7.98,2.32,2.88,4.03,28.9,3,8,1,3.76,6.76,35.7,remove,fired,favor,Can't be
$20000 T,1972,841,WORKING,120,78,858,Postseco,,74,94,married,28,no,KEEPING,190,56,697,2,4,61,17,12,,16,graduate,HIGH SCH,,bachelor,male,white,TOWN LT,foreign,DIFFEREN,average,6,0,0,1,5,2,126,1.9,2.3,8,5.84,7.84,70.4,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,,favor,depends
$15000 T,1972,842,WORKING,120,78,858,Postseco,,74,94,married,28,no,WORKING,130,78,,5,3,64,20,,12,,graduate,,HIGH SCH,,male,white,50000 TO,NEW ENGL,DIFFEREN,ABOVE AV,2,0,0,0,2,2,126,1.9,2.3,8,5.84,7.84,70.4,,,,,,,NOT REMO,,favor,depends
$12500 T,1972,843,UNEMPL,473,37,49,Automoti,,45,50,NEVER MA,,,,,,417,1,0,24,12,11,12,,HIGH SCH,LT HIGH,HIGH SCH,,male,white,BIG-CITY,E. NOR.,SAME CIT,average,4,0,0,1,3,2,126,2.35,7.86,1.41,3.79,6.66,36.6,2.35,7.86,1.41,3.79,6.66,36.6,,fired,favor,CAN TRUS
$6000 TO,1972,844,WORKING,372,46,568,Secretar,,47,55,widowed,21,no,,,,339,3,2,45,12,12,8,,HIGH SCH,,LT HIGH,,female,white,50000 TO,E. NOR.,SAME CIT,average,1,0,0,0,1,1,126,2.98,6.03,7.98,4,5.98,47.7,3.46,8,1.9,3.58,7.28,44.7,NOT REMO,fired,favor,CAN TRUS
$12500 T,1972,845,WORKING,372,46,219,Secretar,,47,55,widowed,23,no,,,,809,2,1,27,12,,8,,HIGH SCH,LT HIGH,LT HIGH,,female,white,50000 TO,E. NOR.,SAME CIT,average,2,1,0,0,1,1,126,2.98,6.03,7.98,4,5.98,47.7,6.35,7.89,5.42,2.26,2.99,15.5,NOT REMO,fired,favor,Can't be
$12500 T,1972,846,KEEPING,372,46,447,Secretar,,47,55,married,25,no,WORKING,245,50,669,3,2,32,14,4,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,50000 TO,E. NOR.,SAME CIT,average,4,2,0,0,2,1,126,2.98,6.03,7.98,4,5.98,47.7,1.44,5.95,7.74,3.97,5.99,43.7,remove,fired,favor,Can't be
,1972,847,WORKING,245,50,387,Uncodeab,,,,married,22,no,KEEPING,372,46,828,4,3,48,16,17,15,16,bachelor,graduate,HIGH SCH,HIGH SCH,male,white,farm,W. NOR.,DIFFEREN,average,4,0,0,1,3,2,126,1.06,2.64,7.58,5.23,7.83,61.3,1.03,0.62,6.85,5.92,7.93,88.4,NOT REMO,,oppose,CAN TRUS
$4000 TO,1972,848,WORKING,140,78,858,Postseco,,74,94,married,21,no,KEEPING,142,60,17,3,2,29,19,10,10,16,graduate,LT HIGH,LT HIGH,bachelor,male,white,farm,mountain,DIFFEREN,BELOW AV,4,2,0,0,2,1,126,1.95,2.35,7.79,5.59,7.62,67.4,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,849,WORKING,441,45,278,First-li,,50,62,married,22,no,KEEPING,142,60,857,2,2,29,16,18,16,16,bachelor,graduate,bachelor,bachelor,male,white,BIG-CITY,E. NOR.,SAME CIT,ABOVE AV,4,2,0,0,2,1,126,1.17,3.33,4.7,4.04,6.87,41.7,1.9,2.02,8,4.99,6.96,62.7,NOT REMO,fired,favor,Can't be
$10000 T,1972,850,KEEPING,372,46,717,Secretar,,47,55,married,18,no,WORKING,441,45,917,2,1,23,12,13,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,female,white,"COUNTRY,",E. NOR.,SAME CIT,average,3,1,0,0,2,1,126,2.98,6.03,7.98,4,5.98,47.7,2.35,7.86,1.41,3.79,6.66,36.6,NOT REMO,NOT FIRE,favor,Can't be
,1972,851,KEEPING,245,50,779,Uncodeab,,,,widowed,31,no,,,,69,7,2,85,8,0,0,,LT HIGH,LT HIGH,LT HIGH,,female,black,TOWN LT,SOUTH AT,DIFFEREN,FAR BELO,2,0,0,0,2,1,906,1.97,5.59,7.18,4.37,6.61,48.3,3.48,7.89,1.43,3.08,7.67,35.5,,fired,favor,CAN TRUS
,1972,852,school,926,42,838,Licensed,,69,88,divorced,21,,,,,228,4,1,32,12,11,11,,HIGH SCH,LT HIGH,LT HIGH,,female,black,CITY GT,SOUTH AT,SAME CIT,average,5,0,1,0,4,1,906,4.67,7,8,3.59,5.17,43.3,6.87,7.95,3.13,2.94,3.33,29.1,NOT REMO,NOT FIRE,favor,Can't be
,1972,853,KEEPING,280,34,999,Uncodeab,,,,married,21,no,retired,270,44,,7,4,67,6,,5,6,LT HIGH,,LT HIGH,LT HIGH,female,black,50000 TO,SOUTH AT,SAME CIT,average,3,0,1,0,2,1,906,3.53,5.62,7.86,3.4,4.1,37.5,,,,,,,NOT REMO,fired,favor,Can't be
$4000 TO,1972,854,WORKING,914,15,857,Counter,,24,13,married,15,no,WORKING,695,32,108,4,4,53,8,0,0,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,black,TOWN LT,SOUTH AT,DIFFEREN,FAR BELO,3,0,0,0,3,3,906,6.63,7.03,7.81,2.21,2.99,14.6,7,8,3.52,3.11,5.19,34.1,NOT REMO,fired,favor,
$8000 TO,1972,855,WORKING,441,45,379,First-li,,50,62,married,21,no,KEEPING,,,669,1,2,28,14,14,,12,HIGH SCH,HIGH SCH,,HIGH SCH,male,black,CITY GT,SOUTH AT,SAME CIT,BELOW AV,4,2,0,0,2,1,906,1.3,3.77,4.5,4.14,7.12,45.2,6.83,6.98,7.95,3.01,3.08,31,NOT REMO,fired,favor,CAN TRUS
$17500 T,1972,856,WORKING,100,52,927,Social w,,54,68,NEVER MA,,,,,,,4,0,27,16,,18,,bachelor,,graduate,,male,black,CITY GT,SOUTH AT,SAME CIT,ABOVE AV,2,0,0,0,2,2,906,1.13,0.73,7.98,5.04,6.96,60.7,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
,1972,857,school,330,41,859,Library,,25,13,NEVER MA,,,,,,907,3,0,19,13,12,16,,HIGH SCH,HIGH SCH,bachelor,,male,black,CITY GT,SOUTH AT,SAME CIT,average,5,0,0,1,4,3,906,3.1,6.41,7.73,3.91,4.29,33.1,3.43,6.5,7.94,3.68,3.81,41.2,NOT REMO,NOT FIRE,favor,Can't be
,1972,858,WORKING,473,37,408,Automoti,,45,50,married,25,no,KEEPING,,,937,4,4,34,12,12,12,12,HIGH SCH,HIGH SCH,HIGH SCH,HIGH SCH,male,black,CITY GT,SOUTH AT,SAME CIT,average,6,1,3,0,2,1,906,2.35,7.86,1.41,3.79,6.66,36.6,2.37,5.86,7.99,3.16,4.51,37.3,NOT REMO,fired,favor,CAN TRUS
,1972,859,KEEPING,,,,,,,,married,16,yes,WORKING,361,43,,1,2,47,10,,12,15,LT HIGH,,HIGH SCH,bachelor,female,white,CITY GT,SOUTH AT,SAME CIT,average,2,0,0,0,2,1,85,,,,,,,,,,,,,remove,fired,favor,CAN TRUS
$8000 TO,1972,860,WORKING,395,36,917,Office c,,32,26,divorced,16,,,,,,7,3,36,10,,10,,HIGH SCH,,LT HIGH,,female,white,CITY GT,SOUTH AT,SAME CIT,FAR BELO,4,0,1,2,1,2,85,3.64,7.63,7.97,3.46,3.63,41.6,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$10000 T,1972,861,WORKING,441,45,199,First-li,,50,62,married,22,no,KEEPING,372,46,,1,1,38,12,,3,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,CITY GT,SOUTH AT,SAME CIT,BELOW AV,3,0,0,1,2,2,85,1.39,3.85,3.72,4.12,7.08,45.7,,,,,,,NOT REMO,NOT FIRE,favor,
$8000 TO,1972,862,TEMP NOT,760,24,419,Laborers,,25,16,married,24,no,WORKING,643,19,17,7,3,55,7,0,0,,LT HIGH,LT HIGH,LT HIGH,,male,white,farm,E. SOU.,DIFFEREN,average,2,0,0,0,2,2,85,6.5,7.75,5.58,2.17,3.3,24.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,Can't be
$15000 T,1972,863,UNEMPL,643,19,387,Packers,,22,13,married,17,no,WORKING,622,33,168,7,3,38,8,,10,8,LT HIGH,,LT HIGH,LT HIGH,female,white,CITY GT,SOUTH AT,SAME CIT,average,5,0,1,2,2,3,85,6.89,8,6.48,2.06,2.19,23.4,6.7,8,4.34,2.4,3.47,26.9,,fired,,
$20000 T,1972,864,WORKING,495,35,279,Uncodeab,,,,NEVER MA,,,,,,759,6,0,32,10,10,6,,LT HIGH,LT HIGH,LT HIGH,,male,white,CITY GT,SOUTH AT,SAME CIT,average,4,0,0,1,3,2,85,2.75,7.84,1.46,3.68,6.44,38.8,2.44,7.98,1.28,3.85,7.27,41.4,NOT REMO,fired,favor,Can't be
,1972,865,KEEPING,142,60,857,Elementa,,61,85,widowed,21,no,,,,917,3,7,76,9,12,,,LT HIGH,HIGH SCH,,,female,white,TOWN LT,SOUTH AT,,ABOVE AV,3,0,0,0,3,2,85,1.97,2.03,8,4.99,6.14,63.6,,,,,,,NOT REMO,fired,favor,Can't be
$15000 T,1972,866,school,,,,,,,,NEVER MA,,,,,,448,1,0,20,13,10,12,,HIGH SCH,LT HIGH,HIGH SCH,,male,white,BIG-CITY,SOUTH AT,SAME CIT,ABOVE AV,4,0,0,1,3,3,85,,,,,,,2.98,7.86,1.41,3.6,5.95,41,NOT REMO,NOT FIRE,oppose,Can't be
$10000 T,1972,867,KEEPING,143,60,857,Preschoo,,53,68,married,30,no,retired,233,50,379,3,0,63,14,8,5,16,HIGH SCH,LT HIGH,LT HIGH,bachelor,female,white,50000 TO,E. NOR.,DIFFEREN,BELOW AV,2,0,0,0,2,0,10,3.39,3.51,8,4.4,5.85,50.9,4.62,7.93,4.96,2.87,3.95,34.4,remove,fired,favor,Can't be
$30000+,1972,868,WORKING,245,50,67,Uncodeab,,,,married,34,no,KEEPING,,,,6,2,55,16,,12,12,bachelor,,HIGH SCH,HIGH SCH,male,white,farm,SOUTH AT,DIFFEREN,average,4,0,1,1,2,1,10,1.21,3.95,7.41,4.94,7.32,60.1,,,,,,,NOT REMO,fired,favor,CAN TRUS
$25000 T,1972,869,KEEPING,372,46,858,Secretar,,47,55,married,26,no,WORKING,265,47,738,2,2,48,15,16,16,12,HIGH SCH,bachelor,bachelor,HIGH SCH,female,white,BIG-CITY,SOUTH AT,"SAME ST,",average,4,0,1,1,2,1,10,2.98,6.03,7.98,4,5.98,47.7,1.42,7.69,7.98,4.76,7.29,60.6,NOT REMO,fired,favor,CAN TRUS
$20000 T,1972,870,KEEPING,75,62,839,Register,,64,87,married,30,no,WORKING,231,50,67,7,3,56,14,,,12,HIGH SCH,,,HIGH SCH,female,white,CITY GT,SOUTH AT,"SAME ST,",ABOVE AV,4,0,0,0,4,4,10,2.88,6.44,7.99,4.19,6.91,53.8,3,8,1,3,8,35.8,NOT REMO,fired,favor,CAN TRUS
$30000+,1972,871,KEEPING,372,46,407,Secretar,,47,55,married,22,no,WORKING,245,50,279,3,3,46,12,,,11,HIGH SCH,,,LT HIGH,female,white,TOWN LT,SOUTH AT,SAME CIT,average,4,0,1,1,2,1,10,2.98,6.03,7.98,4,5.98,47.7,3.53,5.62,7.86,3.4,4.1,37.5,NOT REMO,fired,favor,CAN TRUS
$4000 TO,1972,872,retired,153,47,917,Engineer,,50,63,married,31,no,KEEPING,372,46,407,2,1,65,9,6,6,12,LT HIGH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,SOUTH AT,"SAME ST,",average,2,0,0,0,2,0,10,1.51,7.67,1.65,4.46,6.79,47.9,2.22,7.97,0.21,3.95,6.97,41.5,remove,NOT FIRE,favor,CAN TRUS
$12500 T,1972,873,WORKING,13,54,398,Industri,,63,91,married,26,no,KEEPING,364,39,467,1,2,34,17,14,12,13,bachelor,HIGH SCH,HIGH SCH,HIGH SCH,male,white,BIG-CITY,MIDDLE A,DIFFEREN,average,4,2,0,0,2,1,10,0.89,7.64,6.82,5.21,7.34,64.1,0.89,7.64,6.82,5.21,7.34,64.1,NOT REMO,NOT FIRE,oppose,Can't be
$20000 T,1972,874,retired,245,50,639,Uncodeab,,,,married,28,no,KEEPING,372,46,,5,2,74,7,,6,12,LT HIGH,,LT HIGH,HIGH SCH,male,white,farm,SOUTH AT,"SAME ST,",BELOW AV,3,0,0,0,3,1,10,1.21,3.95,7.41,4.94,7.32,60.1,,,,,,,remove,fired,favor,Can't be
,1972,875,WORKING,305,48,608,Bookkeep,,45,48,married,20,no,"UNEMPL,",999,,,1,2,28,12,,15,14,HIGH SCH,,graduate,HIGH SCH,female,white,CITY GT,NEW ENGL,SAME CIT,BELOW AV,4,1,1,0,2,1,641,3.12,7.91,7.96,3.98,5.01,45.9,,,,,,,remove,,favor,Can't be
